2016-07-21T02:00:00.000,Pride Transportation Services,57.800000000000004,Hoyt Transportation Corp,39.3,Logan Bus Company Inc.,22.299999999999997,G.V.C. LTD,20.700000000000003,Boro Transit Inc.,13.4
2016-07-28T02:00:00.000,Pride Transportation Services,43.300000000000004,Hoyt Transportation Corp,34.5,G.V.C. LTD,17.1,IC Bus Inc.,14.399999999999999,Logan Bus Company Inc.,13.5
2016-08-04T02:00:00.000,Pride Transportation Services,31.2,Hoyt Transportation Corp,30.5,G.V.C. LTD,15.399999999999999,Logan Bus Company Inc.,11.8,All American School Bus,9.7
2016-08-11T02:00:00.000,Pride Transportation Services,15.9,Hoyt Transportation Corp,14.6,Lorinda Ent. Ltd.,8.999999999999998,L & M Bus Corp.,7.4,G.V.C. LTD,5.3999999999999995
2016-08-18T02:00:00.000,Hoyt Transportation Corp,1.2,IC Bus Inc.,1.0,All American School Bus,0.8,Pride Transportation Services,0.6,Jofaz Transportation Inc.,0.6
2016-08-25T02:00:00.000,Hoyt Transportation Corp,1.5,Lorinda Ent. Ltd.,0.3,Reliant Transportation Inc.,0.3,Pride Transportation Services,0.2
2016-09-01T02:00:00.000,Reliant Transportation Inc.,19.7,Mar-Can Transportation,9.6,Thomas Buses Inc.,9.0,G.V.C. LTD,7.9,Leesel Transportation Corp.,5.0
2016-09-08T02:00:00.000,Reliant Transportation Inc.,87.39999999999999,Pioneer Transportation,78.6,G.V.C. LTD,75.19999999999999,New Dawn Transit LLC,56.900000000000006,First Steps Transportation Inc.,36.2
2016-09-15T02:00:00.000,G.V.C. LTD,101.2,Pioneer Transportation,82.2,Reliant Transportation Inc.,65.7,New Dawn Transit LLC,58.9,Leesel Transportation Corp.,43.1
2016-09-22T02:00:00.000,G.V.C. LTD,104.69999999999999,Pioneer Transportation,83.19999999999999,New Dawn Transit LLC,81.5,Reliant Transportation Inc.,80.3,Leesel Transportation Corp.,44.0
2016-09-29T02:00:00.000,New Dawn Transit LLC,53.8,G.V.C. LTD,52.300000000000004,Reliant Transportation Inc.,37.3,Pioneer Transportation,28.0,Leesel Transportation Corp.,24.799999999999997
2016-10-06T02:00:00.000,New Dawn Transit LLC,64.2,G.V.C. LTD,56.199999999999996,Pioneer Transportation,31.8,Reliant Transportation Inc.,23.5,Leesel Transportation Corp.,22.999999999999996
2016-10-13T02:00:00.000,G.V.C. LTD,93.10000000000001,New Dawn Transit LLC,55.3,Pioneer Transportation,47.3,Reliant Transportation Inc.,35.8,Leesel Transportation Corp.,27.5
2016-10-20T02:00:00.000,Pioneer Transportation,68.5,New Dawn Transit LLC,67.1,G.V.C. LTD,65.8,Reliant Transportation Inc.,32.9,Van Trans LLC,28.9
2016-10-27T02:00:00.000,G.V.C. LTD,68.6,Pioneer Transportation,67.39999999999999,New Dawn Transit LLC,55.599999999999994,Reliant Transportation Inc.,51.199999999999996,Leesel Transportation Corp.,30.5
2016-11-03T01:00:00.000,G.V.C. LTD,59.0,New Dawn Transit LLC,44.0,Pioneer Transportation,36.4,Reliant Transportation Inc.,34.699999999999996,L & M Bus Corp.,21.5
2016-11-10T01:00:00.000,New Dawn Transit LLC,53.5,G.V.C. LTD,47.4,Pioneer Transportation,42.1,Reliant Transportation Inc.,34.699999999999996,Leesel Transportation Corp.,30.2
2016-11-17T01:00:00.000,New Dawn Transit LLC,66.8,G.V.C. LTD,63.89999999999999,Pioneer Transportation,45.3,Reliant Transportation Inc.,40.4,Leesel Transportation Corp.,27.2
2016-11-24T01:00:00.000,New Dawn Transit LLC,61.1,G.V.C. LTD,38.0,Reliant Transportation Inc.,25.7,Pioneer Transportation,25.6,Leesel Transportation Corp.,23.9
2016-12-01T01:00:00.000,New Dawn Transit LLC,87.5,G.V.C. LTD,72.39999999999999,Reliant Transportation Inc.,47.699999999999996,Pioneer Transportation,43.1,Mar-Can Transportation,39.699999999999996
2016-12-08T01:00:00.000,New Dawn Transit LLC,112.39999999999999,G.V.C. LTD,60.49999999999999,Pioneer Transportation,50.0,Reliant Transportation Inc.,34.0,Leesel Transportation Corp.,24.099999999999998
