2016-01-20T01:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Mechanical Problem, Heavy Traffic, Won`t Start
2016-01-21T01:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Heavy Traffic, Other, Mechanical Problem
2016-01-22T01:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Heavy Traffic, Mechanical Problem, Other
2016-01-25T01:00:00.000, 05:00-11:59, Weather Conditions, Heavy Traffic, Other, 12:00-19:00, Weather Conditions, Heavy Traffic, Won`t Start
2016-01-26T01:00:00.000, 05:00-11:59, Heavy Traffic, Weather Conditions, Other, 12:00-19:00, Heavy Traffic, Mechanical Problem, Other
2016-01-27T01:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Heavy Traffic, Other, Mechanical Problem
2016-01-28T01:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Heavy Traffic, Mechanical Problem, Won`t Start
2016-01-29T01:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Heavy Traffic, Other, Mechanical Problem
2016-02-01T01:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Heavy Traffic, Other, Mechanical Problem
2016-02-02T01:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Mechanical Problem, Other, Heavy Traffic
2016-02-03T01:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Heavy Traffic, Mechanical Problem, Other
2016-02-04T01:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Heavy Traffic, Other, Mechanical Problem
2016-02-05T01:00:00.000, 05:00-11:59, Weather Conditions, Heavy Traffic, Other, 12:00-19:00, Heavy Traffic, Mechanical Problem, Other
2016-02-08T01:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Mechanical Problem, Heavy Traffic, Won`t Start
2016-02-09T01:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Heavy Traffic, Mechanical Problem, Won`t Start
2016-02-10T01:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Heavy Traffic, Late return from Field Trip, Mechanical Problem
2016-02-11T01:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Heavy Traffic, Late return from Field Trip, Mechanical Problem
2016-02-12T01:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Heavy Traffic, Mechanical Problem, Late return from Field Trip
2016-02-16T01:00:00.000, 05:00-11:59, Other, Weather Conditions, Mechanical Problem, 12:00-19:00, Mechanical Problem, Won`t Start, Weather Conditions
2016-02-17T01:00:00.000, 05:00-11:59, Heavy Traffic, Other, Won`t Start, 12:00-19:00, Heavy Traffic
2016-02-18T01:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00
2016-02-19T01:00:00.000, 05:00-11:59, Heavy Traffic, Mechanical Problem, Flat Tire, 12:00-19:00, Won`t Start, Other
2016-02-22T01:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Heavy Traffic, Other, Mechanical Problem
2016-02-23T01:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Heavy Traffic, Won`t Start, Mechanical Problem
2016-02-24T01:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Heavy Traffic, Other, Mechanical Problem
2016-02-25T01:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Other, Heavy Traffic, Mechanical Problem
2016-02-26T01:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Other, Heavy Traffic, Mechanical Problem
2016-02-29T01:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Heavy Traffic, Mechanical Problem, Won`t Start
2016-03-01T01:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Mechanical Problem, Heavy Traffic, Late return from Field Trip
2016-03-02T01:00:00.000, 05:00-11:59, Heavy Traffic, Other, Problem Run, 12:00-19:00, Heavy Traffic, Other, Mechanical Problem
2016-03-03T01:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Heavy Traffic, Other, Flat Tire
2016-03-04T01:00:00.000, 05:00-11:59, Heavy Traffic, Other, Weather Conditions, 12:00-19:00, Late return from Field Trip, Other, Won`t Start
2016-03-07T01:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Other, Won`t Start, Heavy Traffic
2016-03-08T01:00:00.000, 05:00-11:59, Heavy Traffic, Other, Problem Run, 12:00-19:00, Heavy Traffic, Mechanical Problem, Won`t Start
2016-03-09T01:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Other, Heavy Traffic, Mechanical Problem
2016-03-10T01:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Heavy Traffic, Other, Mechanical Problem
2016-03-11T01:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Other, Heavy Traffic, Mechanical Problem
2016-03-14T01:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Heavy Traffic, Other, Late return from Field Trip
2016-03-15T01:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Heavy Traffic, Other, Flat Tire
2016-03-16T01:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Heavy Traffic, Other, Late return from Field Trip
2016-03-17T01:00:00.000, 05:00-11:59, Heavy Traffic, Other, Flat Tire, 12:00-19:00, Heavy Traffic, Mechanical Problem, Other
2016-03-18T01:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Heavy Traffic, Other, Late return from Field Trip
2016-03-21T01:00:00.000, 05:00-11:59, Heavy Traffic, Other, Weather Conditions, 12:00-19:00, Other, Mechanical Problem, Heavy Traffic
2016-03-22T01:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Heavy Traffic, Late return from Field Trip, Other
2016-03-23T01:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Heavy Traffic, Mechanical Problem, Late return from Field Trip
2016-03-24T01:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Heavy Traffic, Other, Mechanical Problem
2016-03-28T02:00:00.000, 05:00-11:59, Heavy Traffic, Other, Weather Conditions, 12:00-19:00, Mechanical Problem, Heavy Traffic, Other
2016-03-29T02:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Heavy Traffic, Mechanical Problem, Won`t Start
2016-03-30T02:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Heavy Traffic, Other, Mechanical Problem
2016-03-31T02:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Heavy Traffic, Mechanical Problem, Other
2016-04-01T02:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Heavy Traffic, Mechanical Problem, Won`t Start
2016-04-04T02:00:00.000, 05:00-11:59, Heavy Traffic, Other, Mechanical Problem, 12:00-19:00, Heavy Traffic, Mechanical Problem, Won`t Start
